,Name,Yrs_College,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
0,John Battle,4,Rutgers,A-10,29,35.1,8.0,16.2,.491,7.4,14.2,.519,0.6,2.0,.293,4.4,6.1,.729,4.0,2.6,2.6,0.2,,2.6,20.4,-0.58
0,Spud Webb,2,NC State,ACC,33,27.8,4.2,8.8,.481,,,,,,,2.6,3.4,.761,2.0,5.3,2.0,0.1,2.3,2.6,11.1,6.78
0,Pete Williams,2,Arizona,Pac-10,31,32.1,4.7,7.7,.607,,,,,,,3.1,5.5,.561,8.5,1.2,1.2,0.7,1.6,2.5,12.5,4.44
0,Derrick Gervin,3,UTSA,Ind,28,33.9,9.7,17.3,.563,,,,,,,6.2,7.6,.817,9.6,1.8,1.4,0.9,2.5,2.8,25.6,-6.42
0,Cozell McQueen,4,NC State,ACC,33,33.7,3.3,5.9,.551,,,,,,,1.7,2.8,.626,6.9,0.7,0.4,0.9,1.5,2.8,8.3,6.78
0,Dexter Shouse,2,South Alabama,Sun Belt,28,34.4,6.1,12.1,.501,,,,,,,2.1,2.8,.769,3.0,4.2,2.8,0.8,3.0,2.9,14.3,1.02
0,Ralph Lewis,4,La Salle,MAAC,28,38.0,7.2,12.9,.558,,,,,,,4.4,5.9,.739,9.6,0.9,1.9,1.4,2.4,3.1,18.7,-2.29
0,Michael Phelps,4,Alcorn State,SWAC,30,28.0,7.1,14.4,.494,,,,,,,3.6,5.1,.695,3.4,3.0,,,,,17.8,-5.59
0,Brad Daugherty,4,UNC,ACC,34,32.0,8.4,12.9,.648,,,,,,,3.5,5.1,.684,9.0,1.8,1.0,1.1,2.3,2.7,20.2,8.51
0,Chris Washburn,2,NC State,ACC,34,34.9,7.1,12.6,.562,,,,,,,3.4,5.2,.665,6.7,0.9,0.9,0.9,2.4,1.9,17.6,10.39
0,Chuck Person,4,Auburn,SEC,33,35.7,9.4,18.1,.519,,,,,,,2.7,3.4,.804,7.9,0.9,0.9,0.4,2.2,2.5,21.5,9.65
0,Kenny Walker,4,Kentucky,SEC,36,34.8,7.2,12.4,.582,,,,,,,5.6,7.3,.764,7.7,1.4,1.3,1.2,1.5,2.5,20.0,9.63
0,William Bedford,3,Memphis,Metro,32,32.4,7.1,12.2,.584,,,,,,,3.1,4.9,.628,8.5,0.6,0.3,2.7,1.6,2.3,17.3,5.48
0,Roy Tarpley,4,Michigan,Big Ten,33,31.7,6.2,11.5,.541,,,,,,,3.5,4.3,.811,8.8,1.4,1.5,2.9,2.6,3.1,15.9,9.55
0,Ron Harper,4,Miami (OH),MAC,31,36.9,10.1,18.5,.545,,,,,,,4.3,6.5,.665,11.7,4.3,3.3,2.3,2.8,2.7,24.4,-0.07
0,Brad Sellers,5,Ohio State,Big Ten,33,37.4,7.1,14.9,.476,,,,,,,5.6,6.8,.819,12.6,1.6,1.3,2.9,2.9,2.9,19.8,9.69
0,Johnny Dawkins,4,Duke,ACC,40,33.1,8.3,15.1,.549,,,,,,,3.7,4.5,.812,3.6,3.2,1.3,0.1,2.7,1.9,20.2,9.50
0,John Salley,4,Georgia Tech,ACC,34,33.7,5.1,8.4,.606,,,,,,,3.0,5.0,.594,6.7,3.4,0.8,1.7,,3.2,13.1,11.70
0,John Williams,2,LSU,SEC,37,34.5,7.3,14.6,.498,,,,,,,3.2,4.2,.774,8.5,3.3,1.2,0.6,2.6,2.9,17.8,10.71
0,Pearl Washington,3,Syracuse,Big East,32,32.3,6.8,12.6,.535,,,,,,,3.8,5.3,.726,2.5,7.8,2.6,0.0,3.3,2.7,17.3,6.65
0,Walter Berry,2,St. John's (NY),Big East,36,36.6,9.1,15.2,.598,,,,,,,4.8,6.9,.702,11.1,1.0,0.8,2.1,3.1,2.6,23.0,6.26
0,Dell Curry,4,Virginia Tech,Metro,30,37.2,10.2,19.2,.529,,,,,,,3.7,4.7,.789,6.8,3.8,2.6,0.6,3.0,2.7,24.1,5.65
0,Maurice Martin,4,St. Joseph's,A-10,30,33.2,6.6,13.5,.488,,,,,,,4.6,6.1,.750,5.8,3.2,1.8,0.4,,3.2,17.8,0.95
0,Harold Pressley,4,Villanova,Big East,37,34.8,6.1,11.9,.507,,,,,,,4.6,6.1,.768,10.1,2.4,2.2,2.2,,,16.8,6.26
0,Mark Alarie,4,Duke,ACC,40,29.8,6.6,12.3,.535,,,,,,,4.1,4.9,.822,6.2,0.7,1.5,0.7,1.9,3.0,17.2,9.50
0,Billy Thompson,4,Louisville,Metro,39,31.2,5.7,9.8,.576,,,,,,,3.6,5.0,.714,7.8,3.9,0.8,1.6,3.6,3.2,14.9,10.41
0,Buck Johnson,4,Alabama,SEC,29,37.3,8.1,14.0,.577,,,,,,,4.4,5.3,.832,8.3,1.4,1.0,1.3,2.9,3.1,20.7,9.09
0,Anthony Jones,5,UNLV,PCAA,38,33.1,7.3,14.3,.510,,,,,,,2.3,3.1,.754,5.4,2.8,1.8,0.4,1.5,2.6,17.5,4.34
0,Scott Skiles,4,Michigan State,Big Ten,31,37.8,10.7,19.3,.554,,,,,,,6.1,6.7,.900,4.4,6.5,1.7,0.0,3.3,1.8,27.4,7.98
0,Mark Price,4,Georgia Tech,ACC,34,35.4,6.9,13.0,.528,,,,,,,3.6,4.3,.855,2.8,4.4,1.9,0.1,2.6,1.8,17.4,11.70
0,Greg Dreiling,5,Kansas,Big 8,39,26.4,4.6,7.7,.600,,,,,,,2.3,3.3,.711,6.7,1.5,0.3,1.2,1.8,3.1,11.6,10.42
0,Larry Krystkowiak,4,Montana,Big Sky,32,34.9,8.1,13.9,.578,,,,,,,6.0,7.9,.760,11.4,1.5,1.0,0.3,1.8,2.5,22.2,0.12
0,Johnny Newman,4,Richmond,CAA,30,37.4,8.4,16.3,.517,,,,,,,5.1,5.7,.890,7.3,0.9,1.2,1.0,1.9,3.0,22.0,0.92
0,Nate McMillan,2,NC State,ACC,34,35.5,3.7,7.7,.485,,,,,,,1.9,2.6,.733,4.6,6.9,2.6,0.8,2.9,2.6,9.4,10.39
0,Cedric Henderson,1,Georgia,SEC,28,26.5,6.0,11.0,.544,,,,,,,3.5,5.2,.683,7.1,0.9,1.8,1.1,2.0,3.0,15.5,7.16
0,Kevin Duckworth,4,Eastern Illinois,Mid-Cont,32,32.0,7.8,12.4,.631,,,,,,,3.9,5.1,.762,9.1,0.7,0.7,1.3,2.1,3.5,19.5,-1.89
0,Johnny Rogers,5,UC-Irvine,PCAA,29,35.5,7.9,15.1,.523,,,,,,,4.2,5.1,.824,8.6,2.0,0.5,0.9,2.5,3.3,20.0,2.57
0,Milt Wagner,5,Louisville,Metro,39,33.6,5.6,11.4,.495,,,,,,,3.5,4.1,.862,3.1,4.2,1.3,0.3,3.2,2.4,14.8,10.41
0,Rafael Addison,4,Syracuse,Big East,32,31.6,6.4,12.0,.532,,,,,,,2.2,2.7,.793,5.6,4.2,1.3,0.5,2.2,2.2,15.0,6.65
0,Otis Smith,4,Jacksonville,Sun Belt,31,37.5,5.8,12.5,.465,,,,,,,3.6,4.8,.758,8.0,3.2,1.9,2.3,2.9,2.6,15.3,5.77
0,Dave Feitl,4,UTEP,WAC,33,30.8,6.3,12.5,.505,,,,,,,4.0,5.5,.725,6.8,1.2,0.3,1.2,2.2,3.3,16.6,0.60
0,David Wingate,4,Georgetown,Big East,32,29.9,6.1,12.3,.497,,,,,,,3.7,4.8,.755,4.0,2.3,1.7,0.2,2.1,2.5,15.9,6.78
0,Keith Smith,4,Loyola Marymount,WCAC,29,34.7,8.2,16.4,.500,,,,,,,4.6,5.9,.767,1.8,7.0,1.3,0.2,3.6,2.6,21.0,-1.58
